hospital_name_raw
รพ.บุ่งคล้า (11050)
รพ.แกดำ (11051)
รพ.โกสุมพิสัย (11052)
รพ.กันทรวิชัย (11053)
รพ.เชียงยืน (11054)
รพ.บรบือ (11055)
รพ.นาเชือก (11056)
รพ.พยัคฆภูมิพิสัย (11057)
รพ.วาปีปทุม (11058)
รพ.นาดูน (11059)
รพ.ยางสีสุราช (11060)
รพ.เกษตรวิสัย (11061)
รพ.ปทุมรัตต์ (11062)
รพ.จตุรพักตรพิมาน (11063)
รพ.ธวัชบุรี (11064)
รพ.พนมไพร (11065)
รพ.โพนทอง (11066)
รพ.โพธิ์ชัย (11067)
รพ.หนองพอก (11068)
รพ.เสลภูมิ (11069)
รพ.สุวรรณภูมิ (11070)
รพ.เมืองสรวง (11071)
รพ.โพนทราย (11072)
รพ.อาจสามารถ (11073)
รพ.เมยวดี (11074)
รพ.ศรีสมเด็จ (11075)
รพ.จังหาร (11076)
รพ.นามน (11077)
รพ.กมลาไสย (11078)
รพ.ร่องคำ (11079)
รพ.เขาวง (11080)
รพ.ยางตลาด (11081)
รพ.ห้วยเม็ก (11082)
รพ.สหัสขันธ์ (11083)
รพ.คำม่วง (11084)
รพ.ท่าคันโท (11085)
รพ.หนองกุงศรี (11086)
รพ.สมเด็จ (11087)
รพ.ห้วยผึ้ง (11088)
รพ.กุสุมาลย์ (11089)
รพ.กุดบาก (11090)
รพ.พระอาจารย์ฝั้นอาจาโร (11091)
รพ.พังโคน (11092)
รพ.วาริชภูมิ (11093)
รพ.นิคมน้ำอูน (11094)
รพ.วานรนิวาส (11095)
รพ.คำตากล้า (11096)
รพ.พระอาจารย์มั่น ภูริทัตโต (11097)
รพ.อากาศอำนวย (11098)
รพ.พระอาจารย์วัน อุตฺตโม (11099)
รพ.เต่างอย (11100)
รพ.โคกศรีสุพรรณ (11101)
รพ.เจริญศิลป์ (11102)
รพ.โพนนาแก้ว (11103)
รพ.ปลาปาก (11104)
รพ.ท่าอุเทน (11105)
รพ.บ้านแพง (11106)
รพ.นาทม (11107)
รพ.เรณูนคร (11108)
รพ.นาแก (11109)
รพ.ศรีสงคราม (11110)
รพ.นาหว้า (11111)
รพ.โพนสวรรค์ (11112)
รพ.นิคมคำสร้อย (11113)
รพ.ดอนตาล (11114)
รพ.ดงหลวง (11115)
รพ.คำชะอี (11116)
รพ.หว้านใหญ่ (11117)
รพ.หนองสูง (11118)
รพ.จอมทอง (11119)
รพ.เทพรัตนเวชชานุกูลเฉลิมพระเกียรติ ๖๐ พรรษา (11120)
รพ.เชียงดาว (11121)
รพ.ดอยสะเก็ด (11122)
รพ.แม่แตง (11123)
รพ.สะเมิง (11124)
รพ.ฝาง (11125)
รพ.แม่อาย (11126)
รพ.พร้าว (11127)
รพ.สันป่าตอง (11128)
รพ.สันกำแพง (11129)
รพ.สันทราย (11130)
รพ.หางดง (11131)
รพ.ฮอด (11132)
รพ.ดอยเต่า (11133)
รพ.อมก๋อย (11134)
รพ.สารภี (11135)
รพ.เวียงแหง (11136)
รพ.ไชยปราการ (11137)
รพ.แม่วาง (11138)
รพ.แม่ออน (11139)
รพ.แม่ทา (11140)
รพ.บ้านโฮ่ง (11141)
