name,province,district,beds_(as_of_2024)[1]
Seka Hospital,Bueng Kan,Seka,125
Si Wilai Hospital,Bueng Kan,Si Wilai,38
So Phisai Hospital,Bueng Kan,So Phisai,73
Ban Dan Hospital,Buriram,Ban Dan,63
Ban Kruat Hospital,Buriram,Ban Kruat,63
Ban Mai Chaiyaphot Hospital,Buriram,Ban Mai Chaiyaphot,30
Chaloem Phrakiat Hospital,Buriram,Chaloem Phrakiat,38
Chamni Hospital,Buriram,Chamni,40
Huai Rat Hospital,Buriram,Huai Rat,44
Khaen Dong Hospital,Buriram,Khaen Dong,31
Khu Mueang Hospital,Buriram,Khu Mueang,90
Krasang Hospital,Buriram,Krasang,68
Lahan Sai Hospital,Buriram,Lahan Sai,123
Lam Plai Mat Hospital,Buriram,Lam Plai Mat,152
Na Pho Hospital,Buriram,Na Pho,35
Non Din Daeng Hospital,Buriram,Non Din Daeng,36
Non Suwan Hospital,Buriram,Non Suwan,30
Nong Hong Hospital,Buriram,Nong Hong,40
Nong Ki Hospital,Buriram,Nong Ki,66
Pakham Hospital,Buriram,Pakham,44
Phlapphla Chai Hospital,Buriram,Phlapphla Chai,46
Phutthaisong Hospital,Buriram,Phutthaisong,67
Prakhon Chai Hospital,Buriram,Prakhon Chai,170
Satuek Hospital,Buriram,Satuek,135
Ban Pho Hospital,Chachoengsao,Ban Pho,52
Bang Khla Hospital,Chachoengsao,Bang Khla,52
Bang Nam Priao Hospital,Chachoengsao,Bang Nam Priao,64
Bang Pakong Hospital,Chachoengsao,Bang Pakong,90
Khlong Khuean Hospital,Chachoengsao,Khlong Khuean,32
Phanom Sarakham Hospital,Chachoengsao,Phanom Sarakham,163
Plaeng Yao Hospital,Chachoengsao,Plaeng Yao,73
Ratchasan Hospital,Chachoengsao,Ratchasan,13
Sanam Chai Khet Hospital,Chachoengsao,Sanam Chai Khet,150
Tha Takiap Hospital,Chachoengsao,Tha Takiap,45
Han Kha Hospital,Chai Nat,Han Kha,30
Manorom Hospital,Chai Nat,Manorom,30
Noen Kham Hospital,Chai Nat,Noen Kham,0
Nong Mamong Hospital,Chai Nat,Nong Mamong,10
Sankhaburi Hospital,Chai Nat,Sankhaburi,60
Sapphaya Hospital,Chai Nat,Sapphaya,30
Wat Sing Hospital,Chai Nat,Wat Sing,30
Bamnet Narong Hospital,Chaiyaphum,Bamnet Narong,64
Ban Khwao Hospital,Chaiyaphum,Ban Khwao,36
Ban Thaen Hospital,Chaiyaphum,Ban Thaen,30
Chatturat Hospital,Chaiyaphum,Chatturat,90
Kaeng Khro Hospital,Chaiyaphum,Kaeng Khro,120
Kaset Sombun Hospital,Chaiyaphum,Kaset Sombun,67
Khon San Hospital,Chaiyaphum,Khon San,62
Khon Sawan Hospital,Chaiyaphum,Khon Sawan,49
Noen Sa-nga Hospital,Chaiyaphum,Noen Sa-nga,40
Nong Bua Daeng Hospital,Chaiyaphum,Nong Bua Daeng,120
Nong Bua Rawe Hospital,Chaiyaphum,Nong Bua Rawe,40
Phakdi Chumphon Hospital,Chaiyaphum,Phakdi Chumphon,44
Sap Yai Hospital,Chaiyaphum,Sap Yai,30
Thep Sathit Hospital,Chaiyaphum,Thep Sathit,38
Kaeng Hang Maeo Hospital,Chanthaburi,Kaeng Hang Maeo,34
Khao Khitchakut Hospital,Chanthaburi,Khao Khitchakut,40
Khao Sukim Hospital,Chanthaburi,Khao Sukim,30
Khlung Hospital,Chanthaburi,Khlung,39
Laem Sing Hospital,Chanthaburi,Laem Sing,34
Makham Hospital,Chanthaburi,Makham,42
Na Yai Am Hospital,Chanthaburi,Na Yai Am,38
Pong Nam Ron Hospital,Chanthaburi,Pong Nam Ron,69
Soi Dao Hospital,Chanthaburi,Soi Dao,62
Song Phi Nong Hospital,Chanthaburi,Song Phi Nong,32
Tha Mai Hospital,Chanthaburi,Tha Mai,33
Chai Prakan Hospital,Chiang Mai,Chai Prakan,45
Chiang Dao Hospital,Chiang Mai,Chiang Dao,95
Doi Lo Hospital,Chiang Mai,Doi Lo,31
Doi Saket Hospital,Chiang Mai,Doi Saket,60
Doi Tao Hospital,Chiang Mai,Doi Tao,30
Hang Dong Hospital,Chiang Mai,Hang Dong,90
Hot Hospital,Chiang Mai,Hot,79
Mae Ai Hospital,Chiang Mai,Mae Ai,82
Debaratana Vejjanukula Hospital,Chiang Mai,Mae Chaem,60
Mae On Hospital,Chiang Mai,Mae On,30
Mae Taeng Hospital,Chiang Mai,Mae Taeng,60
Mae Tuen Hospital,Chiang Mai,Om Koi,19
